ticket,fecha,cafeteria,producto,categoria,precio,cantidad,metodo_pago,turno,campus,satisfaccion,observaciones,empleado_captura
CF-00204,2026-05-01 15:30:00,CAFETERÍA ANEXO,Café,Bebida,35,1,tarjeta,MANANA,CU,baja,revisar,admin
CF-00536,2026-03-28 14:45:00, cafeteria central ,Torta, snack ,12,1,TARJETA, tarde ,FES ARAGON,Muy Alta,sin observación,emp02
CF-00649,2026-05-05 07:45:00,CAFETERÍA ANEXO,Cafe,Snack,25,2,vale ,TARDE, fes aragón ,Baja ,promoción,emp01
CF-00067,2026-04-30 13:15:00,Cafetería Central,Café,BEBIDA,12,3,efectivo ,TARDE,FES Aragón,alta ,sin observación,emp01
CF-00331,2026-03-14 13:15:00,CAFETERÍA ANEXO,Galletas,Alimento,18,2,Vale,mañana , ciudad universitaria ,Alta,,temporal
CF-00498,2026-05-02 16:30:00,cafeteria anexo, torta ,Alimento,25,1,TARJETA,Tarde, fes aragón ,alta ,producto agotado,temporal
CF-00183,2026-05-14 17:30:00,Cafetería Central,ENSALADA,Alimento,60,1,Tarjeta,Noche,Ciudad Universitaria,Media,promoción,temporal
CF-00129,2026-03-02 18:30:00,cafeteria anexo,ENSALADA,Bebida,20,1,tarjeta,Tarde, ciudad universitaria ,baja,promoción,emp01
CF-00355,2026-04-17 08:00:00,Cafetería Central,Café, snack ,25,,TARJETA,Tarde,Ciudad Universitaria,Muy Alta,promoción,admin
CF-00216,2026-06-02 17:45:00,Cafetería Anexo,ENSALADA,BEBIDA,15,4,efectivo ,noche , fes aragón ,MEDIA,sin observación,temporal
CF-00611,2026-03-29 07:00:00,cafeteria anexo,Ensalada,ALIMENTO,25,3,tarjeta,Mañana,FES ARAGON,Muy Alta,revisar,temporal
CF-00592,,CAFETERÍA ANEXO,Agua,Bebida,,3,efectivo ,Mañana,FES ARAGON,MEDIA,promoción,emp01
CF-00380,2026-05-12 10:45:00,Cafetería Anexo, torta ,BEBIDA,,1,efectivo , tarde , fes aragón ,baja,promoción,temporal
CF-00340,2026-05-07 11:45:00,Cafetería Anexo,Galletas,BEBIDA,20,1,,Noche,FES ARAGON,MEDIA,revisar,admin
CF-00147,2026-04-30 08:45:00, cafeteria central ,agua ,Bebida,18,3,vale , tarde , ciudad universitaria ,MEDIA,producto agotado,temporal
CF-00244,2026-03-09 18:45:00,CAFETERÍA ANEXO,Cafe,Alimento,45,,TARJETA,Tarde, ciudad universitaria ,Alta,,emp02
CF-00392,2026-04-18 18:00:00,Cafetería Central, torta , bebida ,12,3,tarjeta,Noche, fes aragón ,baja,revisar,emp01
CF-00414,2026-04-01 11:00:00,cafeteria anexo,Café,Snack,45,1,Efectivo,Noche,CU,Media,sin observación,emp01
CF-00602,2026-04-16 16:30:00,Cafetería Anexo,Ensalada,Bebida,35,1,vale ,Mañana,CU,Media,promoción,admin
CF-00040,2026-03-08 10:00:00,Cafetería Central,ENSALADA,ALIMENTO,35,2,Vale,noche , fes aragón ,baja,promoción,admin
CF-00246,2026-05-14 11:45:00, cafeteria central ,galletas, snack ,45,2,tarjeta,Tarde,Ciudad Universitaria,muy alta,producto agotado,emp01
CF-00534,2026-06-06 15:30:00,cafeteria anexo,Galletas,BEBIDA,18,2,vale ,TARDE, ciudad universitaria ,,producto agotado,temporal
CF-00265,2026-05-31 18:00:00,Cafetería Anexo,Ensalada,ALIMENTO,18,2,efectivo ,Tarde, fes aragón ,Media,sin observación,emp02
CF-00115,2026-05-23 17:30:00,CAFETERIA CENTRAL,agua , snack ,20,,Tarjeta,Mañana, fes aragón ,Alta,sin observación,emp01
CF-00361,2026-03-28 15:45:00,Cafetería Central, torta , snack ,60,1,vale , tarde , fes aragón ,alta ,producto agotado,admin
CF-00005,2026-05-30 19:15:00,cafeteria anexo,Agua,Bebida,15,2,TARJETA,noche , ciudad universitaria ,baja,promoción,temporal
CF-00181,2026-05-22 13:00:00,cafeteria anexo,Galletas, snack ,18,,Efectivo,Mañana,FES Aragón,Muy Alta,revisar,temporal
CF-00337,2026-03-04 13:00:00, cafeteria central , torta , snack ,25,1,Efectivo,Noche,CU,MEDIA,,emp01
CF-00571,2026-04-03 19:30:00,cafeteria anexo,Agua, snack ,20,1,tarjeta,noche , fes aragón ,,promoción,admin
CF-00468,2026-05-21 12:30:00,cafeteria anexo,Ensalada,Bebida,25,,,Mañana, fes aragón ,Baja ,producto agotado,admin
CF-00107,2026-05-19 13:00:00,CAFETERÍA ANEXO, torta ,Alimento,12,1,efectivo ,MANANA, fes aragón ,Alta,promoción,emp02
CF-00090,2026-04-20 16:45:00,cafeteria anexo,agua ,Snack,18,2,,TARDE,Ciudad Universitaria,Muy Alta,sin observación,admin
CF-00218,2026-05-16 09:15:00, cafeteria central ,Agua, snack ,25,2,vale , tarde ,FES Aragón,Alta,producto agotado,emp02
CF-00276,2026-03-16 19:30:00,CAFETERÍA ANEXO,Ensalada, snack ,,1,efectivo , tarde ,Ciudad Universitaria,,,temporal
CF-00645,2026-04-11 08:30:00,Cafetería Central,Torta,Snack,,3,Vale,TARDE,FES ARAGON,muy alta,sin observación,temporal
CF-00055,2026-03-02 08:30:00,Cafetería Anexo,Agua,ALIMENTO,20,1,vale ,MANANA,FES ARAGON,muy alta,sin observación,emp02
CF-00025,2026-05-30 17:30:00,CAFETERIA CENTRAL,CAFÉ,Snack,15,2,TARJETA,Noche,CU,muy alta,sin observación,emp01
CF-00206,2026-04-19 15:45:00,Cafetería Central,Ensalada,Snack,25,2,Vale,Mañana,Ciudad Universitaria,Muy Alta,producto agotado,temporal
CF-00092,2026-03-25 13:15:00,CAFETERIA CENTRAL,agua , bebida ,12,,efectivo ,Mañana,FES Aragón,Media,revisar,admin
CF-00461,2026-03-15 20:30:00,CAFETERIA CENTRAL,Agua,Bebida,20,1,Tarjeta, tarde ,Ciudad Universitaria,Media,producto agotado,temporal
CF-00381,2026-06-05 12:45:00,Cafetería Anexo, torta ,ALIMENTO,15,3,,Tarde,FES ARAGON,Muy Alta,producto agotado,admin
CF-00554,2026-03-07 14:45:00,cafeteria anexo, torta , bebida ,15,1,,Mañana,FES ARAGON,muy alta,revisar,temporal
CF-00690,2026-03-15 10:30:00,Cafetería Central,CAFÉ, snack ,20,2,Tarjeta,MANANA,Ciudad Universitaria,Media,sin observación,admin
CF-00436,2026-04-29 15:15:00,Cafetería Central,Ensalada,Snack,18,1,vale ,Tarde,FES Aragón,baja,producto agotado,admin
CF-00296,2026-04-17 19:45:00,cafeteria anexo,Café,BEBIDA,12,1,Vale,TARDE, fes aragón ,alta ,producto agotado,temporal
CF-00679,2026-04-09 07:30:00, cafeteria central ,Café,Snack,15,1,efectivo ,MANANA,FES Aragón,Muy Alta,,emp01
CF-00211,2026-03-24 18:00:00,CAFETERÍA ANEXO,ENSALADA, bebida ,15,1,,TARDE,Ciudad Universitaria,alta ,,emp02
CF-00305,2026-03-18 17:00:00,CAFETERÍA ANEXO,agua , snack ,20,1,Efectivo,Tarde,CU,alta ,sin observación,emp02
CF-00027,2026-05-23 11:15:00,CAFETERIA CENTRAL,ENSALADA, bebida ,20,2,,Mañana, ciudad universitaria ,Media,promoción,temporal
CF-00629,,CAFETERÍA ANEXO,CAFÉ,Snack,12,4,efectivo ,TARDE,FES ARAGON,muy alta,,admin
CF-00136,2026-04-20 10:15:00,CAFETERIA CENTRAL,ENSALADA,ALIMENTO,35,1,vale ,MANANA, fes aragón ,Baja ,revisar,emp01
CF-00054,2026-05-05 14:45:00,Cafetería Anexo,CAFÉ, snack ,60,2,Vale, tarde ,Ciudad Universitaria,MEDIA,revisar,admin
CF-00292,,CAFETERÍA ANEXO,Ensalada,ALIMENTO,18,,efectivo ,mañana ,Ciudad Universitaria,Alta,,emp02
CF-00683,2026-05-23 16:00:00,cafeteria anexo,Galletas,ALIMENTO,20,,efectivo ,Mañana, fes aragón ,alta ,promoción,admin
CF-00126,2026-04-29 09:00:00,CAFETERÍA ANEXO,Cafe,ALIMENTO,45,1,tarjeta,MANANA,CU,,promoción,emp02
CF-00323,2026-05-12 11:45:00,CAFETERÍA ANEXO,CAFÉ,Alimento,18,1,Efectivo,MANANA,Ciudad Universitaria,Media,revisar,admin
CF-00597,2026-03-11 09:45:00,cafeteria anexo,galletas, snack ,,1,tarjeta,MANANA,FES ARAGON,alta ,revisar,emp02
CF-00139,2026-06-02 20:45:00,CAFETERÍA ANEXO,Café,Bebida,12,2,vale ,noche ,CU,,sin observación,temporal
CF-00577,2026-03-11 16:00:00,cafeteria anexo,Agua,Snack,18,1,TARJETA,Noche, ciudad universitaria ,Muy Alta,producto agotado,emp01
CF-00184,2026-04-26 15:30:00,CAFETERIA CENTRAL,Ensalada, snack ,45,2,TARJETA,Noche,CU,MEDIA,,admin
CF-00400,2026-05-02 09:15:00,Cafetería Anexo,,Bebida,18,1,tarjeta,noche , fes aragón ,,revisar,emp01
CF-00625,2026-05-25 11:00:00, cafeteria central , torta ,ALIMENTO,18,1,tarjeta,noche ,Ciudad Universitaria,alta ,sin observación,emp02
CF-00523,2026-04-13 10:15:00,CAFETERIA CENTRAL,Ensalada,Bebida,15,1,tarjeta,TARDE, ciudad universitaria ,alta ,revisar,admin
CF-00275,2026-03-16 17:45:00, cafeteria central ,ENSALADA, snack ,25,1,Tarjeta,mañana ,FES Aragón,Baja ,producto agotado,emp01
CF-00154,2026-05-19 14:45:00,CAFETERÍA ANEXO,Café,Snack,15,1,,Tarde, ciudad universitaria ,,,emp01
CF-00694,2026-05-20 14:00:00, cafeteria central ,Café,BEBIDA,45,,,mañana ,FES ARAGON,muy alta,producto agotado,admin
CF-00396,2026-03-28 11:00:00, cafeteria central ,Galletas,ALIMENTO,35,1,vale ,TARDE,CU,Media,promoción,admin
CF-00610,2026-05-07 12:30:00,CAFETERÍA ANEXO,Galletas,BEBIDA,12,1,Vale,Tarde,FES Aragón,Media,revisar,emp01
CF-00222,2026-03-18 16:00:00, cafeteria central ,Torta,Alimento,35,4,vale , tarde ,FES Aragón,alta ,revisar,emp01
CF-00646,2026-05-30 16:15:00,cafeteria anexo,agua , bebida ,15,,efectivo ,mañana ,Ciudad Universitaria,,revisar,emp01
CF-00135,2026-04-10 10:30:00,CAFETERÍA ANEXO,Café,Snack,45,2,TARJETA,Mañana,Ciudad Universitaria,Baja ,revisar,emp01
CF-00048,2026-06-04 17:15:00,Cafetería Anexo,agua ,Alimento,,1,efectivo ,noche ,Ciudad Universitaria,Alta,sin observación,emp01
CF-00696,2026-04-13 09:30:00, cafeteria central ,agua , bebida ,,1,Vale,MANANA,FES ARAGON,Muy Alta,sin observación,emp01
CF-00242,2026-06-01 15:45:00,cafeteria anexo,agua ,ALIMENTO,45,3,tarjeta, tarde ,Ciudad Universitaria,,revisar,temporal
CF-00570,2026-03-22 18:00:00,cafeteria anexo,agua ,Alimento,60,2,Vale,mañana , ciudad universitaria ,Baja ,,temporal
CF-00596,2026-06-08 20:00:00,cafeteria anexo,ENSALADA,Snack,25,1,TARJETA,TARDE,Ciudad Universitaria,baja,producto agotado,temporal
CF-00714,2026-03-18 20:45:00,Cafetería Anexo,Café, snack ,35,,Vale,Noche,CU,MEDIA,producto agotado,admin
CF-00039,2026-03-29 10:15:00,Cafetería Anexo,ENSALADA,Bebida,,,vale ,MANANA,CU,Media,,temporal
CF-00454,2026-05-08 13:30:00, cafeteria central , torta ,ALIMENTO,35,1,Vale,noche , ciudad universitaria ,Media,sin observación,emp01
CF-00198,2026-05-11 09:15:00,cafeteria anexo,ENSALADA,BEBIDA,12,4,Vale,noche , fes aragón ,baja,sin observación,emp01
CF-00271,2026-05-13 19:30:00,CAFETERIA CENTRAL,Galletas, bebida ,45,,TARJETA,Tarde, ciudad universitaria ,Muy Alta,revisar,emp01
CF-00684,2026-03-23 10:30:00,cafeteria anexo,galletas,BEBIDA,45,2,efectivo ,noche ,FES Aragón,MEDIA,promoción,temporal
CF-00408,2026-05-10 17:45:00, cafeteria central ,ENSALADA, bebida ,25,,,MANANA,FES ARAGON,Baja ,sin observación,admin
CF-00309,2026-04-23 12:00:00,CAFETERIA CENTRAL,galletas,BEBIDA,20,2,vale ,Mañana,FES ARAGON,alta ,sin observación,emp01
CF-00278,2026-04-09 08:45:00, cafeteria central ,Ensalada,BEBIDA,20,3,Efectivo,mañana ,Ciudad Universitaria,Muy Alta,sin observación,emp01
CF-00391,2026-04-16 09:15:00,CAFETERÍA ANEXO,Galletas,Snack,,1,Vale,Tarde, fes aragón ,Muy Alta,,emp02
CF-00633,2026-05-03 13:15:00,cafeteria anexo,Galletas,ALIMENTO,60,4,efectivo ,MANANA,Ciudad Universitaria,muy alta,revisar,temporal
CF-00133,2026-06-04 16:30:00,CAFETERIA CENTRAL,Café,Snack,25,1,efectivo ,Tarde, fes aragón ,Muy Alta,revisar,admin
CF-00526,2026-04-05 16:30:00,Cafetería Central,galletas, snack ,60,,,TARDE,FES Aragón,Media,revisar,temporal
CF-00194,2026-04-22 09:45:00,CAFETERÍA ANEXO,CAFÉ,ALIMENTO,20,2,Efectivo,MANANA, fes aragón ,Media,sin observación,admin
CF-00435,2026-04-13 07:00:00,CAFETERÍA ANEXO,CAFÉ, bebida ,60,1,Vale,noche , fes aragón ,,revisar,emp01
CF-00022,2026-05-10 20:00:00,cafeteria anexo,Galletas, bebida ,45,,tarjeta,Mañana, fes aragón ,baja,producto agotado,admin
CF-00201,2026-05-23 17:45:00,Cafetería Central, torta ,BEBIDA,12,3,Tarjeta,MANANA,Ciudad Universitaria,muy alta,sin observación,admin
CF-00595,2026-04-19 16:30:00, cafeteria central ,Torta, bebida ,45,2,,MANANA, fes aragón ,Media,,emp01
CF-00641,2026-04-27 08:30:00, cafeteria central ,Cafe,BEBIDA,20,1,Efectivo, tarde ,Ciudad Universitaria,,sin observación,temporal
CF-00112,2026-03-19 20:45:00,cafeteria anexo, torta , snack ,25,1,tarjeta,Mañana,FES Aragón,alta ,revisar,temporal
CF-00083,2026-03-18 15:45:00,Cafetería Anexo,Café,Alimento,25,1,Vale,noche , ciudad universitaria ,muy alta,promoción,temporal
CF-00332,2026-05-16 16:30:00,CAFETERIA CENTRAL,Ensalada,Snack,15,3,Vale,MANANA, ciudad universitaria ,baja,sin observación,emp01
CF-00363,2026-03-17 18:00:00, cafeteria central ,galletas, bebida ,35,1,,noche ,CU,Alta,,emp02
CF-00527,2026-05-15 08:45:00,CAFETERIA CENTRAL,Cafe, snack ,45,4,Efectivo,TARDE, ciudad universitaria ,Baja ,sin observación,temporal
CF-00174,2026-05-17 07:30:00,CAFETERIA CENTRAL,ENSALADA, snack ,12,3,Efectivo,noche ,FES Aragón,alta ,producto agotado,temporal
CF-00113,2026-03-06 11:30:00,CAFETERIA CENTRAL,Torta,ALIMENTO,15,3,vale ,noche ,Ciudad Universitaria,Alta,revisar,emp01
CF-00041,2026-06-06 15:15:00,Cafetería Anexo,Agua,Alimento,18,3,Tarjeta,mañana ,CU,,sin observación,emp02
CF-00294,2026-04-09 13:00:00,Cafetería Anexo,Cafe,BEBIDA,60,1,Efectivo,Tarde,FES Aragón,Muy Alta,sin observación,temporal
CF-00652,2026-03-14 14:45:00,cafeteria anexo,CAFÉ, snack ,25,1,Vale,Tarde,CU,Alta,producto agotado,admin
CF-00272,2026-04-03 10:00:00,CAFETERÍA ANEXO,CAFÉ,Alimento,,3,Efectivo,TARDE,FES ARAGON,MEDIA,sin observación,emp01
CF-00075,2026-04-14 15:00:00,CAFETERIA CENTRAL, torta , bebida ,25,,TARJETA,MANANA,FES Aragón,baja,,emp01
CF-00668,2026-05-16 08:00:00, cafeteria central ,Café,ALIMENTO,18,1,Vale,Tarde,CU,Alta,promoción,emp02
CF-00227,2026-05-18 11:30:00,Cafetería Central,CAFÉ,ALIMENTO,,1,Efectivo,TARDE,CU,alta ,revisar,admin
CF-00584,2026-03-09 12:30:00,cafeteria anexo,Agua,Alimento,35,1,Efectivo,Mañana,FES ARAGON,,revisar,emp01
CF-00238,2026-03-13 11:30:00,CAFETERÍA ANEXO,Ensalada, snack ,45,1,TARJETA,mañana , ciudad universitaria ,alta ,,temporal
CF-00510,2026-03-28 08:00:00,cafeteria anexo,Torta,ALIMENTO,12,1,tarjeta,MANANA,FES Aragón,muy alta,producto agotado,emp02
CF-00101,2026-04-17 17:00:00,CAFETERIA CENTRAL,Agua,ALIMENTO,35,2,,mañana , ciudad universitaria ,Media,promoción,admin
CF-00190,2026-05-20 15:30:00,cafeteria anexo,Torta,Snack,,1,Tarjeta,noche ,FES Aragón,MEDIA,promoción,admin
CF-00044,2026-03-31 19:30:00,CAFETERIA CENTRAL,Galletas, snack ,18,1,efectivo ,noche , fes aragón ,,sin observación,emp02
CF-00314,2026-04-16 18:45:00,cafeteria anexo,Galletas,Alimento,18,1,Efectivo,TARDE,CU,Media,producto agotado,admin
CF-00173,2026-05-01 10:30:00,Cafetería Anexo,Torta,BEBIDA,,1,,Tarde, ciudad universitaria ,Baja ,revisar,temporal
CF-00543,2026-05-03 14:15:00,cafeteria anexo,Galletas,BEBIDA,15,2,vale ,Mañana, fes aragón ,alta ,,admin
CF-00581,2026-04-30 19:30:00, cafeteria central ,ENSALADA,Snack,18,2,Tarjeta,TARDE,FES ARAGON,baja,producto agotado,emp01
CF-00002,2026-05-02 08:15:00, cafeteria central ,Ensalada,Snack,60,4,vale ,TARDE,Ciudad Universitaria,MEDIA,sin observación,emp01
CF-00541,2026-06-04 13:00:00, cafeteria central ,, bebida ,35,2,Efectivo,TARDE,CU,Alta,,emp02
CF-00608,2026-05-13 16:15:00,CAFETERÍA ANEXO,agua ,Bebida,12,3,tarjeta,mañana ,FES ARAGON,muy alta,sin observación,emp02
CF-00689,2026-03-27 14:30:00,CAFETERIA CENTRAL,galletas,Snack,18,3,Vale,Noche, ciudad universitaria ,MEDIA,promoción,temporal
CF-00193,2026-05-28 07:15:00,CAFETERÍA ANEXO,Torta,ALIMENTO,20,1,Tarjeta, tarde ,CU,alta ,promoción,emp02
CF-00183,2026-05-14 17:30:00,Cafetería Central,ENSALADA,Alimento,60,1,Tarjeta,Noche,Ciudad Universitaria,Media,promoción,temporal
CF-00508,2026-04-26 09:45:00,CAFETERÍA ANEXO,agua ,Bebida,20,2,efectivo , tarde ,FES ARAGON,alta ,promoción,emp01
CF-00195,2026-05-11 12:15:00, cafeteria central ,Torta,Snack,,1,efectivo ,Noche,CU,,producto agotado,emp01
CF-00077,2026-03-23 07:45:00,Cafetería Central,Café,BEBIDA,18,2,efectivo ,Tarde,FES Aragón,baja,,emp01
CF-00082,2026-05-22 11:45:00,CAFETERIA CENTRAL,galletas,Alimento,45,1,tarjeta,Noche,FES Aragón,Alta,sin observación,temporal
CF-00251,2026-04-14 13:30:00,Cafetería Central,galletas,Snack,45,3,tarjeta,MANANA,FES Aragón,Muy Alta,promoción,admin
CF-00076,2026-05-23 13:45:00, cafeteria central ,Cafe, snack ,,3,tarjeta,TARDE, ciudad universitaria ,MEDIA,,emp01
CF-00525,2026-04-01 17:00:00, cafeteria central ,Café,ALIMENTO,45,2,,Tarde, ciudad universitaria ,MEDIA,producto agotado,emp01
CF-00086,2026-06-05 20:30:00,CAFETERIA CENTRAL, torta ,BEBIDA,60,,Efectivo,Noche,FES Aragón,Baja ,revisar,temporal
CF-00648,2026-04-12 13:45:00,cafeteria anexo,galletas,BEBIDA,,1,tarjeta,TARDE,Ciudad Universitaria,alta ,promoción,temporal
CF-00579,2026-05-31 12:30:00,CAFETERIA CENTRAL,Ensalada,Snack,,1,tarjeta,mañana ,FES Aragón,MEDIA,promoción,temporal
CF-00452,2026-03-08 14:00:00,CAFETERIA CENTRAL,Torta, bebida ,12,1,Vale, tarde ,FES Aragón,Baja ,revisar,emp01
CF-00702,2026-04-23 20:30:00,CAFETERÍA ANEXO,galletas, snack ,,1,Tarjeta,Mañana, fes aragón ,muy alta,producto agotado,temporal
CF-00470,2026-05-14 11:00:00,Cafetería Central,ENSALADA,BEBIDA,20,2,Tarjeta,TARDE,Ciudad Universitaria,alta ,sin observación,admin
CF-00125,2026-03-15 18:30:00,CAFETERÍA ANEXO,galletas,Bebida,12,1,tarjeta, tarde ,FES ARAGON,Muy Alta,producto agotado,temporal
CF-00715,2026-03-21 16:45:00,Cafetería Central,ENSALADA,Alimento,15,1,vale ,Mañana,CU,Muy Alta,producto agotado,admin
CF-00046,2026-03-29 08:45:00,cafeteria anexo,Ensalada,Snack,15,2,TARJETA,MANANA, fes aragón ,baja,sin observación,admin
CF-00306,2026-05-13 09:15:00, cafeteria central ,galletas,Bebida,35,4,,Tarde,CU,alta ,promoción,admin
CF-00518,2026-03-28 17:30:00,cafeteria anexo,CAFÉ, snack ,,1,efectivo ,Tarde,FES Aragón,alta ,revisar,emp01
CF-00713,2026-05-13 18:45:00,cafeteria anexo,ENSALADA,Alimento,12,1,efectivo ,Mañana, ciudad universitaria ,Media,promoción,admin
CF-00387,2026-03-27 19:30:00,Cafetería Anexo,Galletas,Snack,25,2,Efectivo,Tarde,CU,Media,producto agotado,admin
CF-00097,2026-04-23 19:15:00,Cafetería Anexo,CAFÉ, snack ,25,,tarjeta,Mañana,FES ARAGON,baja,producto agotado,temporal
CF-00369,2026-04-19 09:00:00,Cafetería Anexo,Café,Snack,12,1,efectivo ,Noche,FES Aragón,Baja ,revisar,emp01
CF-00170,2026-03-20 08:45:00,Cafetería Central,galletas,BEBIDA,25,1,Tarjeta,MANANA,Ciudad Universitaria,baja,promoción,temporal
CF-00109,2026-06-05 17:30:00,Cafetería Central,Café,Alimento,60,1,tarjeta,Tarde,FES ARAGON,Media,sin observación,emp01
CF-00124,2026-05-02 20:00:00, cafeteria central ,CAFÉ,Alimento,25,2,tarjeta,noche , fes aragón ,Media,producto agotado,emp01
CF-00049,2026-03-07 08:30:00,CAFETERÍA ANEXO,Agua,ALIMENTO,18,1,vale ,Mañana,FES Aragón,Media,sin observación,admin
CF-00558,2026-04-13 18:30:00,cafeteria anexo, torta ,ALIMENTO,18,4,Vale,mañana ,Ciudad Universitaria,,revisar,temporal
CF-00343,2026-04-03 09:00:00,CAFETERIA CENTRAL,galletas,Bebida,45,2,Vale,Noche,FES ARAGON,baja,promoción,emp01
CF-00080,2026-06-02 11:00:00,CAFETERÍA ANEXO,Cafe,ALIMENTO,,3,TARJETA,Tarde, ciudad universitaria ,Alta,sin observación,emp01
CF-00373,2026-04-22 12:30:00,CAFETERÍA ANEXO,Galletas,Bebida,,1,vale ,mañana , ciudad universitaria ,alta ,promoción,emp02
CF-00642,2026-03-03 09:00:00, cafeteria central ,Torta,Bebida,15,1,Efectivo,TARDE,FES ARAGON,Baja ,sin observación,admin
CF-00202,2026-05-14 11:30:00,Cafetería Central,galletas, bebida ,12,4,vale ,Tarde,Ciudad Universitaria,Baja ,,temporal
CF-00047,2026-05-13 19:30:00,cafeteria anexo,Cafe,Snack,,1,Vale,noche , fes aragón ,Muy Alta,,admin
CF-00382,2026-06-02 12:45:00, cafeteria central , torta ,Snack,45,3,Tarjeta,Noche,CU,Alta,sin observación,admin
CF-00280,2026-04-20 08:15:00,Cafetería Central,Cafe, snack ,60,1,efectivo ,Mañana, fes aragón ,Muy Alta,,emp01
