nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion
82,2026,viernes,BRITISH AIRWAYS,LONDON HEATHROW,Europa,Hub,Gates 1-12,2018-12-31,120.0,Algo limpio,Algo seguro,Algo satisfecho
83,1793,sábado,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Algo seguro,Algo satisfecho
84,1366,martes,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,170.0,Limpio,Muy seguro,Algo satisfecho
85,1017,viernes,AIR CANADA,VANCOUVER,Canadá / México,Medium,Gates 91-102,2018-12-31,110.0,Algo limpio,Muy seguro,Algo satisfecho
86,2501,viernes,ALASKA,SALT LAKE CITY,oeste de EE. UU.,Medium,Gates 1-12,2018-12-31,120.0,Algo limpio,Neutral,Algo satisfecho
88,3202,domingo,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-01-01,210.0,Limpio,Neutral,Algo satisfecho
89,1747,Lunes,LUFTHANSA,MUNICH,Europa,Hub,Gates 91-102,2018-12-31,205.0,Limpio,Muy seguro,Muy satisfecho
90,1954,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,245.0,Limpio,Muy seguro,Muy satisfecho
91,643,jueves,ALASKA,NUEVA ORLEANS,Medio Oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,160.0,Algo limpio,Neutral,Algo satisfecho
93,2258,miércoles,WOW,REYKJAVIK,Europa,Small,Gates 91-102,2018-12-31,355.0,Algo limpio,Algo seguro,Algo satisfecho
94,2334,martes,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho
95,1887,martes,UNITED,BOSTON,este de EE. UU.,Grande,Gates 70-90,2018-12-31,84.9999999999999,Algo limpio,Neutral,Neutral
97,363,viernes,LUFTHANSA,FRANKFURT,Europa,Hub,Gates 91-102,2018-12-31,180.0,Algo limpio,Algo seguro,Algo satisfecho
99,2443,martes,JETBLUE,BOSTON,este de EE. UU.,Grande,Gates 1-12,2018-12-31,177.0,Limpio,Muy seguro,Algo satisfecho
100,2321,miércoles,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,130.0,Algo limpio,Algo seguro,Algo satisfecho
101,1593,jueves,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,50.0,Limpio,Muy seguro,Muy satisfecho
103,716,miércoles,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,270.0,Limpio,Muy seguro,Muy satisfecho
104,2320,miércoles,QANTAS,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 1-12,2018-12-31,150.0,Algo limpio,Algo seguro,Algo satisfecho
106,2038,viernes,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,2018-12-31,150.0,Promedio,Algo seguro,Neutral
107,550,jueves,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,245.0,Algo limpio,Algo seguro,Algo satisfecho
108,746,domingo,ALASKA,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,120.0,Limpio,Muy seguro,Muy satisfecho
109,2739,viernes,UNITED,KAHULUI,oeste de EE. UU.,Small,Gates 60-69,2018-12-31,32.0,Algo limpio,Muy seguro,Algo satisfecho
110,1984,viernes,AIR FRANCE / KLM,AMSTERDAM,eur,Hub,Gates 1-12,2018-12-31,115.0,Promedio,Neutral,Algo insatisfecho
111,2566,sábado,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,103.0,Limpio,Muy seguro,Algo satisfecho
112,2200,miércoles,AER LINGUS,DUBLIN,Europa,grande,Gates 91-102,2018-12-31,180.0,Algo limpio,Algo seguro,Algo satisfecho
113,340,miércoles,SUDOESTE,PHOENIX,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,240.0,Algo limpio,Algo seguro,Algo satisfecho
114,1252,jueves,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,120.0,Algo limpio,Algo seguro,Muy satisfecho
115,1946,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,305.0,Limpio,Muy seguro,Neutral
116,2627,martes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,74.9999999999999,Limpio,Muy seguro,Muy satisfecho
117,1563,miércoles,DELTA,ATLANTA,este de EE. UU.,Hub,Gates 40-48,2018-12-31,135.0,Algo limpio,Algo seguro,Neutral
118,752,jueves,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,235.0,Algo limpio,Algo seguro,Neutral
120,3135,martes,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,70.0000000000001,Algo limpio,Muy seguro,Algo satisfecho
121,1123,jueves,DELTA,MINNEAPOLIS-ST. PAUL,Medio Oeste de EE. UU.,Hub,Gates 40-48,2018-12-31,90.0,Algo limpio,Muy seguro,Algo satisfecho
122,2220,jueves,SUDOESTE,PHOENIX,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,95.0,Algo limpio,Muy seguro,Muy satisfecho
123,3065,martes,UNITED,SPOKANE,oeste de EE. UU.,   Small,Gates 70-90,2018-12-31,112.0,Promedio,Neutral,Neutral
124,3052,martes,AMERICAN,MIAMI,este de EE. UU.,Hub,Gates 50-59,2018-12-31,125.0,Limpio,Algo seguro,Algo satisfecho
125,2847,martes,UNITED,SEATTLE,oeste de EE. UU.,  Hub ,Gates 70-90,2018-12-31,142.0,Promedio,Muy seguro,Algo satisfecho
127,884,martes,ALASKA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,85.0,Limpio,Muy seguro,Muy satisfecho
128,2054,viernes,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho
129,1571,miércoles,DELTA,DETROIT,Medio Oeste de EE. UU.,Grande,Gates 40-48,2018-12-31,155.0,Algo limpio,Muy seguro,Neutral
130,747,domingo,ALASKA,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 50-59,2018-12-31,120.0,Algo limpio,Muy seguro,Muy satisfecho
132,1799,domingo,ALASKA,RALEIGH-DURHAM,ESTE de EE. UU.,Medium,Gates 50-59,2018-12-31,265.0,Algo limpio,Neutral,Algo satisfecho
134,2281,miércoles,QANTAS,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 1-12,2018-12-31,225.0,Promedio,Neutral,Algo insatisfecho
135,2711,viernes,UNITED,SANTA BARBARA,West US,   Small,Gates 70-90,2018-12-31,122.0,Algo limpio,Algo seguro,Algo satisfecho
136,917,viernes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,90.0,Algo limpio,Algo seguro,Neutral
137,2091,jueves,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,97.0,Algo limpio,Algo seguro,Algo satisfecho
139,265,viernes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,415.0,Promedio,Neutral,Neutral
140,2387,miércoles,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,135.0,Algo limpio,Neutral,Neutral
141,3254,martes,UNITED,SAN DIEGO,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,150.0,Algo limpio,Muy seguro,Algo satisfecho
142,772,jueves,UNITED INTL,SAN JOSE DEL CABO,Canada / Mexico,Small,Gates 91-102,2018-12-31,90.0,Algo limpio,Muy seguro,Muy satisfecho
143,465,domingo,UNITED,DENVER,oeste de EE. UU.,  Hub ,Gates 70-90,2018-12-31,131.0,Promedio,Algo seguro,Algo satisfecho
144,374,viernes,ALASKA,SAN JOSE DEL CABO,Canada / Mexico,Small,Gates 50-59,2018-12-31,105.0,Algo limpio,Neutral,Algo satisfecho
145,367,viernes,ALASKA,SAN JOSE DEL CABO,Canada / Mexico,Small,Gates 50-59,2018-12-31,135.0,Algo limpio,Muy seguro,Algo satisfecho
146,2113,viernes,JETBLUE,LONG BEACH,oeste de EE. UU.,Small,Gates 1-12,2018-12-31,514.0,Promedio,Algo seguro,Algo satisfecho
148,1970,viernes,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Limpio,Muy seguro,Algo satisfecho
149,1012,viernes,AIR CANADA,VANCOUVER,Canadá / México,Medium,Gates 91-102,2018-12-31,185.0,Limpio,Muy seguro,Algo satisfecho
150,1739,Lunes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,75.0000000000001,Algo limpio,Algo seguro,Muy satisfecho
151,2004,miércoles,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,170.0,Algo limpio,Algo seguro,Muy satisfecho
152,2016,miércoles,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,98.0000000000001,Limpio,Muy seguro,Algo satisfecho
153,2262,sábado,UNITED,BAKERSFIELD,West US,   Small,Gates 70-90,2018-12-31,166.0,Algo sucio,Muy seguro,Algo insatisfecho
154,2482,viernes,ALASKA,SALT LAKE CITY,oeste de EE. UU.,Medium,Gates 1-12,2018-12-31,90.0,Algo limpio,Neutral,Algo insatisfecho
155,2969,martes,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,65.0000000000001,Limpio,Muy seguro,Muy satisfecho
156,2575,martes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90.0,Limpio,Algo seguro,Muy satisfecho
157,637,jueves,ALASKA,NUEVA ORLEANS,Medio Oeste de EE. UU.,Medium,Gates 50-59,2018-12-31,110.0,Limpio,Muy seguro,Muy satisfecho
158,2497,viernes,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,139.0,Algo limpio,Algo seguro,Algo satisfecho
160,1724,lunes,AIR CANADA,TORONTO,Canadá / México,Hub,Gates 91-102,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho
161,805,miércoles,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,160.0,Algo limpio,Muy seguro,Neutral
162,3169,jueves,DELTA,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,59.99999999999989,Promedio,Muy seguro,Algo satisfecho
163,1090,jueves,DELTA,MINNEAPOLIS-ST. PAUL,Medio Oeste de EE. UU.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Muy seguro,Algo satisfecho
164,270,jueves,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,2018-12-31,130.0,Limpio,Muy seguro,Muy satisfecho
165,569,jueves,ALASKA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,105.0,Algo limpio,Algo seguro,Algo satisfecho
166,2319,miércoles,QANTAS,SYDNEY,Australia / Nueva Zelanda,Hub,Gates 1-12,2018-12-31,220.0,Promedio,Muy seguro,Algo insatisfecho
167,3223,jueves,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,60.0,Limpio,Muy seguro,Muy satisfecho
168,2922,jueves,DELTA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,105.0,Algo limpio,Algo seguro,Algo satisfecho
169,13,martes,SUDOESTE,LOS ÁNGELES,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,90.0,Promedio,Algo seguro,Algo satisfecho
170,1719,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,2018-12-31,510.0,Promedio,Algo seguro,Neutral
171,3186,jueves,DELTA,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 40-48,2018-12-31,53.0,Promedio,Algo seguro,Algo satisfecho
172,2157,miércoles,FRONTIER,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,153.0,Limpio,Muy seguro,Muy satisfecho
173,1103,martes,SUDOESTE,SAN DIEGO,oeste de EE. UU.,Medium,Gates 20-39,2018-12-31,120.0,Limpio,Muy seguro,Muy satisfecho
174,2053,viernes,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,90.0,Promedio,Algo seguro,Neutral
175,2353,miércoles,UNITED,AUSTIN,Medio Oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Muy seguro,Algo satisfecho
176,3048,domingo,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,215.0,Algo limpio,Muy seguro,Algo satisfecho
177,2143,miércoles,FRONTIER,DENVER,oeste de EE. UU.,  Hub ,Gates 20-39,2018-12-31,123.0,Limpio,Muy seguro,Algo satisfecho
178,1113,jueves,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,120.0,Limpio,Muy seguro,Muy satisfecho
180,1303,martes,UNITED INTL,LONDON HEATHROW,Europa,Hub,Gates 91-102,2018-12-31,140.0,Limpio,Muy seguro,Neutral
181,1261,jueves,ESTE DE CHINA,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195.0,Limpio,Muy seguro,Algo satisfecho
182,9004,viernes,AIR CANADA,VANCOUVER,Canadá / México,Medium,Gates 91-102,2018-12-31,335.0,Limpio,Muy seguro,Muy satisfecho
183,1913,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,Europa,Hub,Gates 1-12,2018-12-31,215.0,Limpio,Muy seguro,Algo satisfecho
184,3035,martes,UNITED,PORTLAND,oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,216.0,Algo limpio,Algo seguro,Algo satisfecho
185,1542,jueves,DELTA,NUEVA YORK-JFK,este de EE. UU.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Muy seguro,Algo satisfecho
186,2352,martes,DELTA,MINNEAPOLIS-ST. PAUL,Medio Oeste de EE. UU.,Hub,Gates 40-48,2018-12-31,155.0,Limpio,Muy seguro,Algo satisfecho
187,801,Domingo,ALASKA,BALTIMORE,Este de EE. UU.,Medium,Gates 50-59,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho
189,529,jueves,EMIRATES,DUBAI,Medio Oriente,Hub,Gates 1-12,2018-12-31,240.0,Algo sucio,Algo seguro,Neutral
191,3107,martes,UNITED,SPOKANE,West US,   Small,Gates 70-90,2018-12-31,247.0,Limpio,Muy seguro,Muy satisfecho
192,1785,sábado,UNITED,RALEIGH-DURHAM,EAST US,Medium,Gates 70-90,2018-12-31,130.0,Promedio,Neutral,Neutral
193,202,miércoles,AMERICAN,LOS ANGELES,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,85.0,Algo limpio,Algo seguro,Algo satisfecho
194,883,martes,ALASKA,SEATTLE,oeste de EE. UU.,  Hub ,Gates 50-59,2018-12-31,145.0,Promedio,Muy seguro,Neutral
195,3142,jueves,DELTA,SALT LAKE CITY,oeste de EE. UU.,Medium,Gates 40-48,2018-12-31,45.0,Algo limpio,Muy seguro,Algo satisfecho
196,3157,martes,UNITED,SAN DIEGO,oeste de EE. UU.,Medium,Gates 60-69,2018-12-31,135.0,Algo limpio,Muy seguro,Neutral
197,1894,lunes,LUFTHANSA,MUNICH,Europa,Hub,Gates 91-102,2018-12-31,235.0,Algo limpio,Muy seguro,Algo satisfecho
198,458,domingo,UNITED,DALLAS-FT. VALOR,Medio oeste de EE. UU.,  Hub ,Gates 60-69,2018-12-31,250.0,Algo limpio,Algo seguro,Muy satisfecho
199,2020,viernes,BRITISH AIRWAYS,LONDON HEATHROW,eur,Hub,Gates 1-12,2018-12-31,105.0,Algo limpio,Neutral,Neutral
200,312,jueves,UNITED,SAN DIEGO,Oeste de EE. UU.,Medium,Gates 70-90,2018-12-31,182.0,Algo limpio,Muy seguro,Muy satisfecho
