prestamo_id,fecha_prestamo,carrera,facultad,libro,autor,editorial,categoria,dias_prestamo,estatus,biblioteca,ciudad,observaciones,capturista
PB-00142,2026-03-16, ing. computacion ,FES Aragón,Python para Todos,Tanenbaum,McGraw Hill, computación ,,en préstamo ,BIBLIOTECA CENTRAL,CDMX,renovación,temporal
PB-00497,2026-05-29, ing. computacion ,CU,Cálculo I,Grossman,,Computación,15,Devuelto,Biblioteca Central,Ciudad de México,renovación,admin
PB-00543,2026-04-07,derecho ,Ciudad Universitaria,Minería de Datos,Guido,Mcgraw-Hill,Ciencias Sociales,30,En préstamo, fes aragón ,Nezahualcóyotl,libro dañado,cap01
PB-00585,2026-02-09,comunicación ,Ciudad Universitaria,Álgebra Lineal,Grossman,Alfaomega,MATEMATICAS,25,Vencido,biblioteca central ,Nezahualcóyotl,libro dañado,temporal
PB-00472,2026-05-14,comunicación , fes aragón ,Cálculo I,Mendenhall,,COMPUTACION,25,VENCIDO,Biblioteca Central,Nezahualcóyotl,sin observación,admin
PB-00449,2026-03-13, ing. computacion ,FES Aragón,Bases de Datos,Grossman,Pearson,MATEMATICAS,30,en préstamo ,FES Aragón,NEZAHUALCOYOTL,sin observación,cap02
PB-00025,2026-03-28,Ingeniería en Computación,Ciudad Universitaria,Álgebra Lineal,Stewart,,MATEMATICAS,30,en préstamo ,FES Aragón,ciudad de mexico ,renovación,cap02
PB-00020,2026-02-22, ing. computacion ,CU,Cálculo I,Guido,McGraw Hill,Computación,,Devuelto,FES ARAGON,ciudad de mexico ,renovación,temporal
PB-00622,2026-04-02,Ing. en Computación, ciudad universitaria ,Cálculo I,Date, pearson ,Matemáticas,20,devuelto ,biblioteca central ,Nezahualcóyotl,sin observación,admin
PB-00442,2026-02-25,Matemáticas, fes aragón ,Bases de Datos,Guido,McGraw Hill,MATEMATICAS,15,En préstamo,FES Aragón,NEZAHUALCOYOTL,,admin
PB-00633,2026-02-25, matematicas , ciudad universitaria ,Cálculo I,Mendenhall,Mcgraw-Hill,MATEMATICAS,3,Vencido, fes aragón ,CDMX,renovación,cap02
PB-00310,2026-04-18,MATEMATICAS, ciudad universitaria ,Álgebra Lineal,Date,McGraw Hill,Computación,,En préstamo,FES Aragón,Ciudad de México,libro dañado,cap02
PB-00175,2026-04-20,Ingeniería en Computación,FES ARAGON,Álgebra Lineal,Grossman,, computación ,7,En préstamo,BIBLIOTECA CENTRAL,ciudad de mexico ,libro dañado,cap01
PB-00240,2026-03-01,DERECHO,FES Aragón,Redes de Computadoras,Grossman,PEARSON,Ciencias Sociales,7,VENCIDO,BIBLIOTECA CENTRAL,nezahualcóyotl ,libro dañado,temporal
PB-00417,2026-02-02,Comunicación y Periodismo,FES Aragón,Redes de Computadoras,Mendenhall,,Computación,20,devuelto , fes aragón ,CDMX,libro dañado,cap02
PB-00353,2026-03-24, ing. computacion ,Ciudad Universitaria,Python para Todos,Mendenhall,Pearson, computación ,15,VENCIDO,FES Aragón,NEZAHUALCOYOTL,libro dañado,temporal
PB-00316,2026-02-27,DERECHO,Ciudad Universitaria,Estadística Básica,Date,UNAM,COMPUTACION,30,VENCIDO,Biblioteca Central,ciudad de mexico ,revisar,admin
PB-00457,2026-05-21,Comunicación y Periodismo, fes aragón ,Minería de Datos,Tanenbaum,,Ciencias Sociales,10,EN PRESTAMO, fes aragón ,Nezahualcóyotl,revisar,temporal
PB-00244,2026-03-25,Matemáticas, ciudad universitaria ,Minería de Datos,Guido,, computación ,7,Devuelto,BIBLIOTECA CENTRAL,CDMX,libro dañado,cap02
PB-00236,2026-03-28,Ingeniería en Computación, ciudad universitaria ,Python para Todos,Stewart,Alfaomega,Computación,30,devuelto ,Biblioteca Central,nezahualcóyotl ,sin observación,cap02
PB-00129,2026-03-25,comunicación , ciudad universitaria ,Cálculo I,Guido,UNAM, computación ,5,En préstamo, fes aragón ,ciudad de mexico ,sin observación,cap01
PB-00410,2026-05-22,derecho , ciudad universitaria ,Minería de Datos,Mendenhall,McGraw Hill,Ciencias Sociales,7,devuelto ,FES ARAGON,nezahualcóyotl ,revisar,temporal
PB-00416,,Ingeniería en Computación, fes aragón ,Bases de Datos,Date,Pearson,Computación,20,en préstamo ,Biblioteca Central,Ciudad de México,libro dañado,cap01
PB-00395,2026-05-25,Ing. en Computación,FES ARAGON,Bases de Datos,Witten,McGraw Hill,COMPUTACION,,en préstamo ,FES Aragón,Nezahualcóyotl,renovación,cap01
PB-00345,2026-04-11,COMUNICACION Y PERIODISMO,FES Aragón,Cálculo I,Grossman,Pearson,COMPUTACION,25,Vencido,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,renovación,admin
PB-00178,,Ingeniería en Computación,FES Aragón,Bases de Datos,Date,McGraw Hill, computación ,3,VENCIDO, fes aragón ,nezahualcóyotl ,,cap02
PB-00580,2026-04-07, matematicas , fes aragón ,Minería de Datos,Grossman, pearson , computación ,7,en préstamo ,FES ARAGON,NEZAHUALCOYOTL,renovación,cap01
PB-00056,2026-05-22,Matemáticas,FES Aragón,Álgebra Lineal,Grossman,PEARSON, ciencias sociales ,5,EN PRESTAMO,BIBLIOTECA CENTRAL,Nezahualcóyotl,libro dañado,cap01
PB-00374,2026-04-17,Comunicación y Periodismo,FES Aragón,Bases de Datos,Tanenbaum,,Ciencias Sociales,25,en préstamo ,FES Aragón,ciudad de mexico ,libro dañado,admin
PB-00157,2026-05-02,derecho ,FES ARAGON,Álgebra Lineal,Date,, ciencias sociales ,10,en préstamo , fes aragón ,ciudad de mexico ,sin observación,cap01
PB-00340,,DERECHO,CU,Minería de Datos,Tanenbaum,PEARSON, ciencias sociales ,30,en préstamo ,Biblioteca Central,Ciudad de México,,cap01
PB-00547,2026-03-16,Comunicación y Periodismo, fes aragón ,Estadística Básica,Guido, pearson , computación ,10,devuelto ,FES Aragón,NEZAHUALCOYOTL,,cap02
PB-00425,2026-04-14,Ingeniería en Computación,Ciudad Universitaria,Bases de Datos,Mendenhall,McGraw Hill,COMPUTACION,7,Devuelto,Biblioteca Central,Ciudad de México,revisar,temporal
PB-00159,2026-06-01,Comunicación y Periodismo, fes aragón ,Álgebra Lineal,Mendenhall,,Matemáticas,,devuelto ,FES ARAGON,Ciudad de México,sin observación,cap01
PB-00120,2026-03-28, matematicas , fes aragón ,Cálculo I,Stewart,Mcgraw-Hill,Matemáticas,5,Vencido,FES ARAGON,ciudad de mexico ,libro dañado,admin
PB-00551,2026-03-13,INGENIERIA EN COMPUTACION,FES ARAGON,Python para Todos,Tanenbaum,Pearson,COMPUTACION,,En préstamo,Biblioteca Central,nezahualcóyotl ,renovación,cap01
PB-00494,2026-04-14,Matemáticas,FES ARAGON,Álgebra Lineal,Tanenbaum, pearson ,Matemáticas,5,EN PRESTAMO,FES ARAGON,Nezahualcóyotl,renovación,cap01
PB-00021,2026-05-24,Ing. en Computación, fes aragón ,Cálculo I,Date,Mcgraw-Hill,Matemáticas,25,,Biblioteca Central,Nezahualcóyotl,libro dañado,admin
PB-00611,2026-02-06,Matemáticas,FES ARAGON,Python para Todos,Guido,PEARSON, computación ,7,en préstamo ,FES ARAGON,ciudad de mexico ,,cap01
PB-00187,2026-04-13,comunicación ,FES Aragón,Estadística Básica,Date, pearson ,COMPUTACION,,EN PRESTAMO,FES ARAGON,NEZAHUALCOYOTL,revisar,admin
PB-00538,2026-03-05,DERECHO, ciudad universitaria ,Python para Todos,Tanenbaum,UNAM,Computación,20,En préstamo,BIBLIOTECA CENTRAL,ciudad de mexico ,renovación,temporal
PB-00341,2026-02-28,derecho ,Ciudad Universitaria,Python para Todos,Grossman,McGraw Hill,Matemáticas,15,devuelto ,FES ARAGON,nezahualcóyotl ,,cap02
PB-00461,2026-02-13, ing. computacion , ciudad universitaria ,Estadística Básica,Date,UNAM,MATEMATICAS,5,EN PRESTAMO,FES Aragón,NEZAHUALCOYOTL,,temporal
PB-00088,2026-03-12,derecho ,CU,Minería de Datos,Witten,,Computación,,Vencido,biblioteca central ,CDMX,libro dañado,cap02
PB-00339,2026-03-16,DERECHO, ciudad universitaria ,Estadística Básica,Guido,,Matemáticas,30,EN PRESTAMO,FES Aragón,NEZAHUALCOYOTL,revisar,cap02
PB-00610,2026-03-07,DERECHO,FES Aragón,Bases de Datos,Mendenhall,Pearson,Computación,,Vencido,biblioteca central ,NEZAHUALCOYOTL,sin observación,admin
PB-00635,2026-05-17,derecho ,FES ARAGON,Redes de Computadoras,Grossman,PEARSON,Computación,,Vencido,BIBLIOTECA CENTRAL,ciudad de mexico ,renovación,temporal
PB-00629,2026-03-23,INGENIERIA EN COMPUTACION,Ciudad Universitaria,Python para Todos,Grossman,Pearson,Ciencias Sociales,5,devuelto ,Biblioteca Central,Ciudad de México,,admin
PB-00097,2026-04-11,derecho , fes aragón ,Estadística Básica,Mendenhall,Mcgraw-Hill,Computación,7,En préstamo,Biblioteca Central,Nezahualcóyotl,libro dañado,cap02
PB-00376,2026-02-01,derecho ,Ciudad Universitaria,Estadística Básica,Witten,Mcgraw-Hill,COMPUTACION,3,Devuelto,BIBLIOTECA CENTRAL,ciudad de mexico ,libro dañado,cap01
PB-00549,2026-03-30,COMUNICACION Y PERIODISMO, fes aragón ,Estadística Básica,Stewart,McGraw Hill,COMPUTACION,7,VENCIDO,Biblioteca Central,nezahualcóyotl ,libro dañado,cap01
PB-00428,2026-05-15,Comunicación y Periodismo, fes aragón ,Bases de Datos,Mendenhall,Alfaomega,Ciencias Sociales,25,en préstamo ,biblioteca central ,Ciudad de México,revisar,cap01
PB-00340,,DERECHO,CU,Minería de Datos,Tanenbaum,PEARSON, ciencias sociales ,30,en préstamo ,Biblioteca Central,Ciudad de México,,cap01
PB-00305,2026-04-25,Matemáticas,CU,Estadística Básica,Stewart,PEARSON,COMPUTACION,25,VENCIDO,biblioteca central ,NEZAHUALCOYOTL,renovación,temporal
PB-00133,2026-02-07,Matemáticas,CU,Minería de Datos,Date,Mcgraw-Hill,Computación,10,VENCIDO,FES ARAGON,nezahualcóyotl ,,temporal
PB-00356,2026-04-17,COMUNICACION Y PERIODISMO,CU,Álgebra Lineal,Date,McGraw Hill, computación ,30,en préstamo , fes aragón ,Ciudad de México,sin observación,admin
PB-00398,2026-02-21,Derecho, fes aragón ,Python para Todos,Mendenhall,Alfaomega,Matemáticas,15,devuelto ,biblioteca central ,Ciudad de México,,cap01
PB-00230,2026-03-15,Ing. en Computación, ciudad universitaria ,Minería de Datos,Date,Alfaomega,COMPUTACION,20,devuelto ,biblioteca central ,CDMX,sin observación,cap01
PB-00293,2026-02-24,Ing. en Computación,Ciudad Universitaria,Redes de Computadoras,Tanenbaum, pearson ,COMPUTACION,30,devuelto ,biblioteca central ,CDMX,revisar,cap01
PB-00004,2026-02-03,Matemáticas,CU,Python para Todos,Stewart, pearson ,Matemáticas,5,EN PRESTAMO,FES Aragón,Ciudad de México,sin observación,cap01
PB-00466,2026-02-27,COMUNICACION Y PERIODISMO,Ciudad Universitaria,Bases de Datos,Stewart,Mcgraw-Hill, ciencias sociales ,7,EN PRESTAMO,biblioteca central ,nezahualcóyotl ,revisar,cap02
PB-00405,2026-05-26,comunicación , fes aragón ,Python para Todos,Mendenhall,PEARSON, computación ,15,EN PRESTAMO,Biblioteca Central,nezahualcóyotl ,renovación,admin
PB-00498,2026-05-22,Matemáticas, fes aragón ,Redes de Computadoras,Mendenhall,Mcgraw-Hill,Ciencias Sociales,20,Vencido,BIBLIOTECA CENTRAL,CDMX,,admin
PB-00492,2026-06-11, matematicas ,FES Aragón,Redes de Computadoras,Stewart,,Ciencias Sociales,3,Vencido,Biblioteca Central,NEZAHUALCOYOTL,sin observación,admin
PB-00504,2026-05-13, ing. computacion , ciudad universitaria ,Cálculo I,Mendenhall,PEARSON,Ciencias Sociales,3,Devuelto,FES ARAGON,NEZAHUALCOYOTL,,cap01
PB-00080,2026-05-08,comunicación ,CU,Cálculo I,Mendenhall,UNAM,Computación,20,En préstamo, fes aragón ,Nezahualcóyotl,sin observación,cap02
PB-00071,2026-03-16, matematicas ,FES Aragón,Bases de Datos,Grossman,,MATEMATICAS,,devuelto ,FES ARAGON,NEZAHUALCOYOTL,libro dañado,cap02
PB-00528,,DERECHO,FES ARAGON,Python para Todos,Tanenbaum,,MATEMATICAS,3,Devuelto,BIBLIOTECA CENTRAL,Nezahualcóyotl,libro dañado,admin
PB-00304,2026-02-19,comunicación ,FES ARAGON,Álgebra Lineal,Witten,,Ciencias Sociales,20,En préstamo,FES ARAGON,ciudad de mexico ,sin observación,cap01
PB-00084,2026-05-03, matematicas ,FES Aragón,Estadística Básica,Mendenhall,UNAM, ciencias sociales ,25,Devuelto,FES Aragón,ciudad de mexico ,renovación,temporal
PB-00272,2026-04-01,Matemáticas,FES Aragón,Cálculo I,Tanenbaum,McGraw Hill,COMPUTACION,5,,BIBLIOTECA CENTRAL,CDMX,sin observación,admin
PB-00235,2026-05-17,DERECHO, fes aragón ,Python para Todos,Date,, computación ,15,devuelto ,FES Aragón,ciudad de mexico ,libro dañado,admin
PB-00196,2026-03-25,Comunicación y Periodismo,CU,Bases de Datos,Tanenbaum,Mcgraw-Hill,COMPUTACION,10,devuelto ,FES Aragón,Nezahualcóyotl,revisar,temporal
PB-00225,2026-03-12,Comunicación y Periodismo, ciudad universitaria ,Estadística Básica,Tanenbaum,Pearson,Ciencias Sociales,15,Devuelto,Biblioteca Central,ciudad de mexico ,sin observación,temporal
PB-00534,2026-05-24,Matemáticas,FES ARAGON,Python para Todos,Witten,Mcgraw-Hill,Matemáticas,25,Devuelto,biblioteca central ,ciudad de mexico ,libro dañado,cap02
PB-00009,2026-05-31,Ing. en Computación,FES ARAGON,Redes de Computadoras,Witten,Pearson, computación ,5,EN PRESTAMO,FES Aragón,Ciudad de México,sin observación,admin
PB-00432,2026-02-24,MATEMATICAS,Ciudad Universitaria,Bases de Datos,Guido,UNAM,COMPUTACION,10,EN PRESTAMO, fes aragón ,CDMX,sin observación,admin
PB-00627,2026-02-22, ing. computacion , fes aragón ,Álgebra Lineal,Date,UNAM,COMPUTACION,10,Devuelto,FES Aragón,CDMX,libro dañado,temporal
PB-00090,2026-03-20,comunicación ,Ciudad Universitaria,Redes de Computadoras,Witten,PEARSON, computación ,,Vencido,Biblioteca Central,CDMX,,temporal
PB-00323,2026-03-25, matematicas , ciudad universitaria ,Estadística Básica,Witten,PEARSON, computación ,3,EN PRESTAMO, fes aragón ,CDMX,sin observación,cap01
PB-00483,2026-02-03,comunicación ,CU,Estadística Básica,Guido,PEARSON, computación ,7,devuelto , fes aragón ,NEZAHUALCOYOTL,,cap01
PB-00253,2026-04-01,Derecho,Ciudad Universitaria,Minería de Datos,Tanenbaum,UNAM,Matemáticas,25,VENCIDO,FES ARAGON,nezahualcóyotl ,,admin
PB-00540,2026-03-16, matematicas ,FES Aragón,Cálculo I,Tanenbaum,UNAM, ciencias sociales ,30,VENCIDO,Biblioteca Central,CDMX,,admin
PB-00044,2026-05-28,MATEMATICAS, ciudad universitaria ,Python para Todos,Guido,PEARSON, computación ,10,VENCIDO,BIBLIOTECA CENTRAL,Ciudad de México,sin observación,admin
PB-00439,,derecho , ciudad universitaria ,Estadística Básica,Stewart,,COMPUTACION,20,devuelto ,Biblioteca Central,Ciudad de México,renovación,admin
PB-00535,2026-03-25,Derecho,Ciudad Universitaria,Minería de Datos,Stewart,PEARSON,Ciencias Sociales,7,Vencido,Biblioteca Central,Nezahualcóyotl,libro dañado,cap01
PB-00501,2026-04-23,Ing. en Computación,CU,Bases de Datos,Guido,McGraw Hill, computación ,30,Vencido,biblioteca central ,CDMX,renovación,cap01
PB-00172,2026-03-11,DERECHO,Ciudad Universitaria,Python para Todos,Date,, computación ,30,En préstamo,FES ARAGON,Ciudad de México,,temporal
PB-00087,2026-03-06,Ingeniería en Computación,FES ARAGON,Python para Todos,Grossman,Mcgraw-Hill, ciencias sociales ,10,VENCIDO,Biblioteca Central,Ciudad de México,revisar,cap02
PB-00526,2026-03-17,derecho , ciudad universitaria ,Minería de Datos,Guido,UNAM,MATEMATICAS,15,en préstamo ,Biblioteca Central,Ciudad de México,,cap01
PB-00093,2026-03-17,DERECHO,FES ARAGON,Cálculo I,Stewart,, computación ,5,En préstamo,Biblioteca Central,CDMX,renovación,cap01
PB-00008,2026-06-07,MATEMATICAS,CU,Estadística Básica,Stewart,Alfaomega, ciencias sociales ,,EN PRESTAMO,BIBLIOTECA CENTRAL,Nezahualcóyotl,,admin
PB-00487,2026-04-25, matematicas , fes aragón ,Álgebra Lineal,Stewart,,Matemáticas,30,VENCIDO, fes aragón ,CDMX,,cap01
PB-00548,2026-02-06,MATEMATICAS,FES ARAGON,Minería de Datos,Date,Alfaomega,Computación,10,Vencido,FES ARAGON,CDMX,libro dañado,cap01
PB-00211,2026-03-24,DERECHO,CU,Python para Todos,Stewart, pearson ,Ciencias Sociales,5,VENCIDO,Biblioteca Central,nezahualcóyotl ,revisar,temporal
PB-00526,2026-03-17,derecho , ciudad universitaria ,Minería de Datos,Guido,UNAM,MATEMATICAS,15,en préstamo ,Biblioteca Central,Ciudad de México,,cap01
PB-00143,2026-02-03,Matemáticas,CU,Bases de Datos,Date,, ciencias sociales ,,,BIBLIOTECA CENTRAL,CDMX,renovación,cap02
PB-00141,2026-02-07,Ingeniería en Computación, ciudad universitaria ,Estadística Básica,Witten, pearson ,Computación,3,devuelto ,FES Aragón,NEZAHUALCOYOTL,libro dañado,admin
PB-00073,2026-05-18,DERECHO,CU,Python para Todos,Witten,Mcgraw-Hill,Matemáticas,10,VENCIDO,Biblioteca Central,ciudad de mexico ,libro dañado,admin
PB-00290,2026-02-13,Comunicación y Periodismo,FES Aragón,Bases de Datos,Guido,, ciencias sociales ,20,devuelto ,Biblioteca Central,nezahualcóyotl ,sin observación,temporal
PB-00213,2026-02-07,Comunicación y Periodismo,FES ARAGON,Bases de Datos,Grossman,Alfaomega,COMPUTACION,30,Devuelto, fes aragón ,CDMX,revisar,cap01
PB-00490,2026-04-13,derecho , fes aragón ,Estadística Básica,Witten,Pearson,COMPUTACION,,Devuelto,BIBLIOTECA CENTRAL,Ciudad de México,,admin
PB-00582,,comunicación ,CU,Python para Todos,Stewart,PEARSON,Computación,15,En préstamo,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,sin observación,admin
PB-00521,,Comunicación y Periodismo,Ciudad Universitaria,Minería de Datos,Guido,McGraw Hill,Ciencias Sociales,30,en préstamo ,FES ARAGON,nezahualcóyotl ,sin observación,cap02
PB-00153,2026-05-18,DERECHO, fes aragón ,Bases de Datos,Guido,McGraw Hill, computación ,10,VENCIDO,biblioteca central ,Nezahualcóyotl,renovación,temporal
PB-00546,2026-05-16,COMUNICACION Y PERIODISMO,FES ARAGON,Álgebra Lineal,Grossman,Alfaomega,Ciencias Sociales,20,devuelto , fes aragón ,nezahualcóyotl ,revisar,temporal
PB-00605,2026-05-21,Ingeniería en Computación, fes aragón ,Python para Todos,Mendenhall,Pearson, computación ,10,Vencido,FES ARAGON,CDMX,,admin
PB-00300,2026-02-10,Ing. en Computación, fes aragón ,Python para Todos,Tanenbaum,Alfaomega,Ciencias Sociales,15,VENCIDO,biblioteca central ,Nezahualcóyotl,sin observación,cap01
PB-00027,2026-06-05,Ingeniería en Computación,FES ARAGON,Cálculo I,Stewart,UNAM,MATEMATICAS,3,en préstamo ,FES Aragón,Ciudad de México,,cap01
PB-00431,2026-03-17, ing. computacion ,FES Aragón,Álgebra Lineal,Mendenhall,Pearson, computación ,10,devuelto ,Biblioteca Central,ciudad de mexico ,sin observación,cap01
PB-00335,2026-02-13,derecho ,FES ARAGON,Redes de Computadoras,Date,PEARSON, computación ,30,VENCIDO,FES ARAGON,NEZAHUALCOYOTL,revisar,temporal
PB-00057,2026-02-11,COMUNICACION Y PERIODISMO,Ciudad Universitaria,Bases de Datos,Grossman,, computación ,20,Vencido,biblioteca central ,CDMX,renovación,cap01
PB-00227,2026-05-14,Ingeniería en Computación,FES ARAGON,Álgebra Lineal,Guido,PEARSON, computación ,20,en préstamo ,biblioteca central ,NEZAHUALCOYOTL,sin observación,cap01
PB-00059,2026-04-16, matematicas ,FES Aragón,Minería de Datos,Guido,PEARSON,Ciencias Sociales,25,VENCIDO,Biblioteca Central,Nezahualcóyotl,sin observación,cap02
PB-00010,2026-02-23, ing. computacion ,FES Aragón,Estadística Básica,Guido,UNAM,COMPUTACION,,en préstamo ,Biblioteca Central,NEZAHUALCOYOTL,revisar,temporal
PB-00612,2026-03-19, matematicas ,FES ARAGON,Álgebra Lineal,Mendenhall,,Computación,20,en préstamo ,biblioteca central ,CDMX,,admin
PB-00415,2026-05-03,INGENIERIA EN COMPUTACION,CU,Cálculo I,Tanenbaum,UNAM,Computación,7,devuelto ,Biblioteca Central,ciudad de mexico ,renovación,admin
PB-00236,2026-03-28,Ingeniería en Computación, ciudad universitaria ,Python para Todos,Stewart,Alfaomega,Computación,30,devuelto ,Biblioteca Central,nezahualcóyotl ,sin observación,cap02
PB-00381,2026-05-12,Ing. en Computación,FES ARAGON,Python para Todos,Witten,Alfaomega,Computación,10,VENCIDO,BIBLIOTECA CENTRAL,ciudad de mexico ,revisar,cap01
PB-00123,2026-03-03,INGENIERIA EN COMPUTACION,Ciudad Universitaria,Álgebra Lineal,Stewart,Pearson, computación ,10,Vencido,BIBLIOTECA CENTRAL,NEZAHUALCOYOTL,libro dañado,admin
PB-00506,2026-03-01,INGENIERIA EN COMPUTACION,FES ARAGON,Álgebra Lineal,Guido,McGraw Hill,MATEMATICAS,30,VENCIDO,BIBLIOTECA CENTRAL,Nezahualcóyotl,libro dañado,temporal
PB-00590,2026-06-06, matematicas , ciudad universitaria ,Minería de Datos,Tanenbaum,Alfaomega,MATEMATICAS,7,Devuelto, fes aragón ,NEZAHUALCOYOTL,sin observación,cap02
PB-00344,2026-03-30,INGENIERIA EN COMPUTACION,Ciudad Universitaria,Bases de Datos,Grossman,McGraw Hill,COMPUTACION,,Vencido,FES Aragón,Nezahualcóyotl,libro dañado,temporal
PB-00066,2026-03-07,INGENIERIA EN COMPUTACION,FES ARAGON,Bases de Datos,Guido,Alfaomega,Matemáticas,25,Vencido,BIBLIOTECA CENTRAL,ciudad de mexico ,sin observación,cap01
PB-00599,2026-02-23,DERECHO,Ciudad Universitaria,Estadística Básica,Stewart,, ciencias sociales ,10,devuelto ,FES Aragón,Ciudad de México,sin observación,cap02
PB-00482,2026-02-22,derecho , fes aragón ,Álgebra Lineal,Grossman,PEARSON, ciencias sociales ,25,Devuelto,FES ARAGON,NEZAHUALCOYOTL,libro dañado,cap01
PB-00199,2026-06-04,Ingeniería en Computación,CU,Álgebra Lineal,Witten,Alfaomega,Matemáticas,,En préstamo,BIBLIOTECA CENTRAL,nezahualcóyotl ,renovación,admin
PB-00284,2026-06-10, matematicas , fes aragón ,Estadística Básica,Guido, pearson ,Matemáticas,25,devuelto ,BIBLIOTECA CENTRAL,nezahualcóyotl ,sin observación,temporal
PB-00532,2026-02-15,Ingeniería en Computación,FES ARAGON,Álgebra Lineal,Mendenhall,,Matemáticas,3,EN PRESTAMO,biblioteca central ,ciudad de mexico ,revisar,cap01
PB-00377,2026-05-28,COMUNICACION Y PERIODISMO, ciudad universitaria ,Redes de Computadoras,Tanenbaum,Pearson, computación ,15,VENCIDO,BIBLIOTECA CENTRAL,ciudad de mexico ,renovación,admin
PB-00130,2026-02-04,Ing. en Computación,CU,Minería de Datos,Date,,MATEMATICAS,7,devuelto , fes aragón ,NEZAHUALCOYOTL,,admin
PB-00388,2026-02-19,INGENIERIA EN COMPUTACION, fes aragón ,Python para Todos,Tanenbaum,,Ciencias Sociales,10,devuelto , fes aragón ,NEZAHUALCOYOTL,renovación,cap02
PB-00484,2026-04-11,Derecho,CU,Redes de Computadoras,Guido, pearson , ciencias sociales ,10,Devuelto, fes aragón ,Nezahualcóyotl,sin observación,cap01
PB-00500,2026-04-25, matematicas ,CU,Redes de Computadoras,Date,PEARSON, ciencias sociales ,10,Vencido,FES Aragón,Ciudad de México,renovación,cap02
PB-00437,2026-05-12,derecho , ciudad universitaria ,Cálculo I,Grossman,PEARSON,MATEMATICAS,,Vencido,FES Aragón,nezahualcóyotl ,,cap01
PB-00539,2026-03-13, ing. computacion ,FES ARAGON,Bases de Datos,Witten, pearson ,MATEMATICAS,7,devuelto ,biblioteca central ,nezahualcóyotl ,renovación,cap01
PB-00250,2026-02-15, ing. computacion ,CU,Bases de Datos,Mendenhall, pearson ,Computación,3,En préstamo,Biblioteca Central,CDMX,revisar,cap01
PB-00169,2026-02-26,Ing. en Computación,FES ARAGON,Minería de Datos,Tanenbaum, pearson ,MATEMATICAS,25,EN PRESTAMO,FES Aragón,CDMX,revisar,cap02
PB-00055,2026-06-03,Derecho, fes aragón ,Álgebra Lineal,Witten, pearson ,Ciencias Sociales,25,Vencido, fes aragón ,Nezahualcóyotl,sin observación,cap02
PB-00270,2026-03-31,Ing. en Computación,FES ARAGON,Álgebra Lineal,Grossman,McGraw Hill,Ciencias Sociales,3,Devuelto,BIBLIOTECA CENTRAL,ciudad de mexico ,revisar,admin
PB-00502,,COMUNICACION Y PERIODISMO, fes aragón ,Álgebra Lineal,Mendenhall,,Matemáticas,3,devuelto ,biblioteca central ,nezahualcóyotl ,libro dañado,cap01
PB-00131,2026-04-28,Ing. en Computación,FES Aragón,Estadística Básica,Witten,Alfaomega,MATEMATICAS,3,EN PRESTAMO,FES ARAGON,CDMX,libro dañado,cap01
PB-00047,2026-03-25,COMUNICACION Y PERIODISMO, fes aragón ,Python para Todos,Date,PEARSON, ciencias sociales ,,Vencido,Biblioteca Central,Nezahualcóyotl,libro dañado,cap02
